customers.CustomerId,customers.FirstName,customers.LastName,customers.Company,customers.Address,customers.City,customers.State,customers.Country,customers.PostalCode,customers.Phone,customers.Fax,customers.Email,customers.SupportRepId
25,Victor,Stevens,NA,319 N. Frances Street,Madison,WI,USA,53703,+1 (608) 257-0597,NA,vstevens@yahoo.com,5
26,Richard,Cunningham,NA,2211 W Berry Street,Fort Worth,TX,USA,76110,+1 (817) 924-7272,NA,ricunningham@hotmail.com,4
27,Patrick,Gray,NA,1033 N Park Ave,Tucson,AZ,USA,85719,+1 (520) 622-4200,NA,patrick.gray@aol.com,4
28,Julia,Barnett,NA,302 S 700 E,Salt Lake City,UT,USA,84102,+1 (801) 531-7272,NA,jubarnett@gmail.com,5
29,Robert,Brown,NA,796 Dundas Street West,Toronto,ON,Canada,M6J 1V1,+1 (416) 363-8888,NA,robbrown@shaw.ca,3
30,Edward,Francis,NA,230 Elgin Street,Ottawa,ON,Canada,K2P 1L7,+1 (613) 234-3322,NA,edfrancis@yachoo.ca,3
31,Martha,Silk,NA,194A Chain Lake Drive,Halifax,NS,Canada,B3S 1C5,+1 (902) 450-0450,NA,marthasilk@gmail.com,5
32,Aaron,Mitchell,NA,696 Osborne Street,Winnipeg,MB,Canada,R3L 2B9,+1 (204) 452-6452,NA,aaronmitchell@yahoo.ca,4
33,Ellie,Sullivan,NA,5112 48 Street,Yellowknife,NT,Canada,X1A 1N6,+1 (867) 920-2233,NA,ellie.sullivan@shaw.ca,3
34,João,Fernandes,NA,Rua da Assunção 53,Lisbon,NA,Portugal,NA,+351 (213) 466-111,NA,jfernandes@yahoo.pt,4
35,Madalena,Sampaio,NA,"Rua dos Campeões Europeus de Viena, 4350",Porto,NA,Portugal,NA,+351 (225) 022-448,NA,masampaio@sapo.pt,4
36,Hannah,Schneider,NA,Tauentzienstraße 8,Berlin,NA,Germany,10789,+49 030 26550280,NA,hannah.schneider@yahoo.de,5
37,Fynn,Zimmermann,NA,Berger Straße 10,Frankfurt,NA,Germany,60316,+49 069 40598889,NA,fzimmermann@yahoo.de,3
38,Niklas,Schröder,NA,Barbarossastraße 19,Berlin,NA,Germany,10779,+49 030 2141444,NA,nschroder@surfeu.de,3
39,Camille,Bernard,NA,"4, Rue Milton",Paris,NA,France,75009,+33 01 49 70 65 65,NA,camille.bernard@yahoo.fr,4
40,Dominique,Lefebvre,NA,"8, Rue Hanovre",Paris,NA,France,75002,+33 01 47 42 71 71,NA,dominiquelefebvre@gmail.com,4
41,Marc,Dubois,NA,"11, Place Bellecour",Lyon,NA,France,69002,+33 04 78 30 30 30,NA,marc.dubois@hotmail.com,5
42,Wyatt,Girard,NA,"9, Place Louis Barthou",Bordeaux,NA,France,33000,+33 05 56 96 96 96,NA,wyatt.girard@yahoo.fr,3
43,Isabelle,Mercier,NA,"68, Rue Jouvence",Dijon,NA,France,21000,+33 03 80 73 66 99,NA,isabelle_mercier@apple.fr,3
44,Terhi,Hämäläinen,NA,Porthaninkatu 9,Helsinki,NA,Finland,00530,+358 09 870 2000,NA,terhi.hamalainen@apple.fi,3
45,Ladislav,Kovács,NA,Erzsébet krt. 58.,Budapest,NA,Hungary,H-1073,NA,NA,ladislav_kovacs@apple.hu,3
46,Hugh,O'Reilly,NA,3 Chatham Street,Dublin,Dublin,Ireland,NA,+353 01 6792424,NA,hughoreilly@apple.ie,3
47,Lucas,Mancini,NA,"Via Degli Scipioni, 43",Rome,RM,Italy,00192,+39 06 39733434,NA,lucas.mancini@yahoo.it,5
48,Johannes,Van der Berg,NA,Lijnbaansgracht 120bg,Amsterdam,VV,Netherlands,1016,+31 020 6223130,NA,johavanderberg@yahoo.nl,5
49,Stanisław,Wójcik,NA,Ordynacka 10,Warsaw,NA,Poland,00-358,+48 22 828 37 39,NA,stanisław.wójcik@wp.pl,4
50,Enrique,Muñoz,NA,C/ San Bernardo 85,Madrid,NA,Spain,28015,+34 914 454 454,NA,enrique_munoz@yahoo.es,5
51,Joakim,Johansson,NA,Celsiusg. 9,Stockholm,NA,Sweden,11230,+46 08-651 52 52,NA,joakim.johansson@yahoo.se,5
52,Emma,Jones,NA,202 Hoxton Street,London,NA,United Kingdom,N1 5LH,+44 020 7707 0707,NA,emma_jones@hotmail.com,3
53,Phil,Hughes,NA,113 Lupus St,London,NA,United Kingdom,SW1V 3EN,+44 020 7976 5722,NA,phil.hughes@gmail.com,3
54,Steve,Murray,NA,110 Raeburn Pl,Edinburgh ,NA,United Kingdom,EH4 1HH,+44 0131 315 3300,NA,steve.murray@yahoo.uk,5
55,Mark,Taylor,NA,421 Bourke Street,Sidney,NSW,Australia,2010,+61 (02) 9332 3633,NA,mark.taylor@yahoo.au,4
56,Diego,Gutiérrez,NA,307 Macacha Güemes,Buenos Aires,NA,Argentina,1106,+54 (0)11 4311 4333,NA,diego.gutierrez@yahoo.ar,4
57,Luis,Rojas,NA,"Calle Lira, 198",Santiago,NA,Chile,NA,+56 (0)2 635 4444,NA,luisrojas@yahoo.cl,5
58,Manoj,Pareek,NA,"12,Community Centre",Delhi,NA,India,110017,+91 0124 39883988,NA,manoj.pareek@rediff.com,3
59,Puja,Srivastava,NA,"3,Raj Bhavan Road",Bangalore,NA,India,560001,+91 080 22289999,NA,puja_srivastava@yahoo.in,3
